epoch,timestamp,train_loss,val_mean_iou,val_mean_dice,lr
1,2026-08-17T09:17:44+00:00,0.803274,0.429973,0.478748,9.99314767377287e-05
2,2026-08-17T09:19:21+00:00,0.354201,0.559994,0.635064,9.972609476841367e-05
3,2026-08-17T09:21:01+00:00,0.270659,0.609005,0.694882,9.93844170297569e-05
4,2026-08-17T09:22:40+00:00,0.220033,0.662036,0.748413,9.89073800366903e-05
5,2026-08-17T09:24:20+00:00,0.192821,0.686819,0.770145,9.829629131445343e-05
6,2026-08-17T09:26:01+00:00,0.168539,0.708779,0.790017,9.75528258147577e-05
7,2026-08-17T09:27:42+00:00,0.153813,0.709216,0.791276,9.66790213248601e-05
8,2026-08-17T09:29:22+00:00,0.141901,0.71221,0.793104,9.567727288213006e-05
9,2026-08-17T09:31:03+00:00,0.131951,0.713667,0.797277,9.455032620941841e-05
10,2026-08-17T09:32:43+00:00,0.124453,0.723894,0.804721,9.330127018922197e-05
11,2026-08-17T09:34:24+00:00,0.118449,0.724873,0.806715,9.193352839727123e-05
12,2026-08-17T09:36:05+00:00,0.112908,0.731145,0.811515,9.04508497187474e-05
13,2026-08-17T09:37:45+00:00,0.106822,0.736195,0.817838,8.885729807284857e-05
14,2026-08-17T09:39:26+00:00,0.101881,0.730817,0.813232,8.715724127386973e-05
15,2026-08-17T09:41:06+00:00,0.098062,0.732638,0.813888,8.535533905932739e-05
16,2026-08-17T09:42:47+00:00,0.094535,0.737016,0.818437,8.345653031794293e-05
17,2026-08-17T09:44:27+00:00,0.091619,0.734864,0.81702,8.146601955249189e-05
18,2026-08-17T09:46:08+00:00,0.089057,0.737977,0.820493,7.938926261462367e-05
19,2026-08-17T09:47:48+00:00,0.085711,0.740852,0.822453,7.723195175075138e-05
20,2026-08-17T09:49:29+00:00,0.084284,0.739095,0.822381,7.500000000000002e-05
21,2026-08-17T09:51:09+00:00,0.08279,0.741333,0.822654,7.269952498697736e-05
22,2026-08-17T09:52:50+00:00,0.080623,0.743475,0.824793,7.033683215379003e-05
23,2026-08-17T09:54:31+00:00,0.079024,0.737075,0.821226,6.791839747726505e-05
24,2026-08-17T09:56:11+00:00,0.077779,0.7395,0.822491,6.54508497187474e-05
25,2026-08-17T09:57:52+00:00,0.07552,0.742131,0.824359,6.294095225512606e-05
26,2026-08-17T09:59:32+00:00,0.074047,0.738322,0.822152,6.0395584540887984e-05
27,2026-08-17T10:01:12+00:00,0.072539,0.743221,0.824919,5.782172325201157e-05
28,2026-08-17T10:02:53+00:00,0.071926,0.738745,0.823121,5.52264231633827e-05
29,2026-08-17T10:04:34+00:00,0.071032,0.742507,0.824822,5.261679781214721e-05
30,2026-08-17T10:06:14+00:00,0.07034,0.739774,0.822582,5.0000000000000036e-05
31,2026-08-17T10:07:55+00:00,0.069558,0.742222,0.825353,4.738320218785284e-05
32,2026-08-17T10:09:35+00:00,0.068225,0.742328,0.824915,4.477357683661736e-05
33,2026-08-17T10:11:15+00:00,0.067466,0.742136,0.825266,4.217827674798848e-05
34,2026-08-17T10:12:56+00:00,0.066294,0.74199,0.824451,3.9604415459112055e-05
35,2026-08-17T10:14:37+00:00,0.065831,0.744293,0.826177,3.705904774487399e-05
36,2026-08-17T10:16:17+00:00,0.06519,0.744939,0.827657,3.4549150281252656e-05
37,2026-08-17T10:17:58+00:00,0.064736,0.743148,0.826197,3.2081602522735006e-05
38,2026-08-17T10:19:39+00:00,0.063839,0.744181,0.826416,2.9663167846210015e-05
39,2026-08-17T10:21:19+00:00,0.063444,0.742788,0.825225,2.7300475013022676e-05
40,2026-08-17T10:23:00+00:00,0.062915,0.743138,0.825781,2.5000000000000025e-05
41,2026-08-17T10:24:40+00:00,0.062443,0.744519,0.827075,2.2768048249248675e-05
42,2026-08-17T10:26:21+00:00,0.062163,0.743293,0.825964,2.0610737385376362e-05
43,2026-08-17T10:28:01+00:00,0.061771,0.743504,0.826034,1.8533980447508148e-05
44,2026-08-17T10:29:42+00:00,0.061646,0.74099,0.824651,1.6543469682057116e-05
45,2026-08-17T10:31:22+00:00,0.061423,0.742335,0.825122,1.4644660940672637e-05
46,2026-08-17T10:33:03+00:00,0.06105,0.742296,0.825042,1.2842758726130309e-05
47,2026-08-17T10:34:44+00:00,0.060422,0.741866,0.825268,1.1142701927151465e-05
48,2026-08-17T10:36:25+00:00,0.060188,0.742693,0.82538,9.549150281252641e-06
49,2026-08-17T10:38:05+00:00,0.060163,0.742287,0.825275,8.06647160272881e-06
50,2026-08-17T10:39:46+00:00,0.060301,0.742581,0.825544,6.69872981077807e-06
51,2026-08-17T10:41:27+00:00,0.06002,0.742008,0.824971,5.449673790581616e-06
52,2026-08-17T10:43:07+00:00,0.059962,0.743311,0.825778,4.322727117869955e-06
53,2026-08-17T10:44:48+00:00,0.059664,0.742662,0.825581,3.3209786751399153e-06
54,2026-08-17T10:46:28+00:00,0.059378,0.742929,0.826142,2.447174185242325e-06
55,2026-08-17T10:48:09+00:00,0.059636,0.743229,0.825745,1.7037086855465854e-06
56,2026-08-17T10:49:49+00:00,0.05958,0.743528,0.826354,1.0926199633097164e-06
57,2026-08-17T10:51:30+00:00,0.059437,0.742753,0.825772,6.155829702431174e-07
58,2026-08-17T10:53:11+00:00,0.059685,0.742856,0.825752,2.7390523158633014e-07
59,2026-08-17T10:54:52+00:00,0.05986,0.743021,0.825706,6.85232622713084e-08
60,2026-08-17T10:56:33+00:00,0.059344,0.741463,0.824733,0.0
